"state","population","positive","negative","pending","total","delta","tests_per_million","pct_positive"
"Arizona",7278717,9,59,32,100,0.19047619047619,13.7386849907752,0.132352941176471
"Arkansas",3017804,1,111,0,112,6.46666666666667,37.1130795770699,0.00892857142857143
"Colorado",5758736,34,257,0,291,NA,50.5319222829454,0.116838487972509
"Connecticut",3565287,3,71,0,74,NA,20.755692318739,0.0405405405405405
"Delaware",973764,1,21,9,31,0.55,31.8352290698773,0.0454545454545455
"Florida",21477737,31,301,147,479,0.182716049382716,22.3021633983133,0.0933734939759036
"Idaho",1787065,0,67,0,67,0.313725490196078,37.4916413225037,0
"Illinois",12671821,291,76,367,734,0.125766871165644,57.9237980081947,0.79291553133515
"Iowa",3155070,14,67,24,105,0.220930232558139,33.2797687531497,0.172839506172839
"Kansas",2913314,1,41,0,42,NA,14.4165716431528,0.0238095238095238
"Kentucky",4467673,8,56,0,64,NA,14.3251307783716,0.125
"Maine",1344212,0,42,5,47,NA,34.9647228264589,0
"Maryland",6045680,9,94,0,103,0,17.0369586216935,0.087378640776699
"Michigan",9986857,2,91,28,121,0.571428571428571,12.1159239588591,0.021505376344086
"Minnesota",5639632,5,217,0,222,0.644444444444444,39.3642705765199,0.0225225225225225
"Mississippi",2976149,1,31,0,32,NA,10.7521498419602,0.03125
"Montana",1068778,0,21,0,21,0,19.6486080364678,0
"Nebraska",1934408,5,47,16,68,0.0303030303030303,35.1528736440296,0.0961538461538462
"New Hampshire",1359711,13,74,3,90,0.323529411764706,66.1905360771517,0.149425287356322
"New Jersey",8882190,23,57,20,100,0.265822784810127,11.2584846755136,0.2875
"New Mexico",2096829,0,7,6,13,-0.850574712643678,6.19983794577431,0
"Ohio",11689100,4,21,24,49,0.53125,4.19193949919155,0.16
"Oklahoma",3956971,2,15,11,28,NA,7.0761195874319,0.117647058823529
"Oregon",4217737,19,286,62,367,0.244067796610169,87.0134861419761,0.0622950819672131
"Pennsylvania",12801989,16,100,59,175,NA,13.669750848872,0.137931034482759
"Rhode Island",1059361,5,94,8,107,NA,101.004284658393,0.0505050505050505
"South Carolina",5148714,74,2,0,76,0.853658536585366,14.7609674959611,0.973684210526316
"South Dakota",884659,8,27,11,46,1.3,51.9974363003146,0.228571428571429
"Tennessee",6829174,9,61,0,70,NA,10.2501415251683,0.128571428571429
"Vermont",623989,1,62,0,63,0.536585365853659,100.963318263623,0.0158730158730159
"Virginia",8535519,9,60,0,69,0.131147540983606,8.08386695642058,0.130434782608696
"Wisconsin",5822434,53,5,0,58,0.288888888888889,9.96146972211278,0.913793103448276
"Total",169971081,651,2541,832,4024,0.586125344895546,23.6746155659268,0.203947368421053
